# Rime user dictionary
#@/db_name	clover
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	16526
#@/user_id	windows11-caoayu-pc-i512400
a 	啊	c=99 d=2.19152 t=16526
jia ge 	价格	c=5 d=0.879651 t=16526
jia ge 	佳哥	c=8 d=0.349938 t=16526
jia ge 	加个	c=3 d=0.0411719 t=16526
jia gou 	架构	c=1 d=8.19009e-05 t=16526
jia jin lai 	加进来	c=2 d=0.000916453 t=16526
jia kuai 	加快	c=1 d=0.000154549 t=16526
jia le 	加了	c=3 d=0.613258 t=16526
jia li 	家里	c=4 d=0.567448 t=16526
jia liang 	加量	c=1 d=0.0270518 t=16526
jia ma 	加码	c=1 d=0.609571 t=16526
jia mi 	加密	c=4 d=0.0527052 t=16526
jia qian 	价钱	c=1 d=9.76306e-13 t=16526
jia ren 	家人	c=1 d=0.308819 t=16526
jia ru 	加入	c=11 d=0.74319 t=16526
jia sai 	假赛	c=1 d=0.00031751 t=16526
jia shan 	假山	c=3 d=3.61369e-14 t=16526
jia shang 	加上	c=4 d=0.357007 t=16526
jia shen 	加深	c=1 d=0.08291 t=16526
jia shi qi 	加湿器	c=6 d=3.80247e-11 t=16526
jia su 	加速	c=1 d=3.29671e-05 t=16526
jia su qi 	加速器	c=1 d=0.183599 t=16526
jia ting 	家庭	c=1 d=0.0110536 t=16526
jia yi ge 	加一个	c=1 d=0.000170803 t=16526
jia you 	加油	c=1 d=0.00990218 t=16526
jia zai 	加载	c=2 d=0.0010158 t=16526
jia zhang 	家长	c=1 d=0.00172074 t=16526
jia zhi 	价值	c=1 d=5.68844e-11 t=16526
jia zi 	架子	c=2 d=2.67511e-09 t=16526
jian 	健	c=1 d=0.00412784 t=16526
jian 	减	c=1 d=5.31759e-12 t=16526
jian 	剪	c=1 d=0.242926 t=16526
jian 	建	c=2 d=0.000508015 t=16526
jian 	捡	c=1 d=0.227638 t=16526
jian 	见	c=2 d=0.169483 t=16526
jian 	键	c=6 d=0.00807628 t=16526
jian ban 	减半	c=1 d=0.00657159 t=16526
jian ce 	检测	c=3 d=0.00506703 t=16526
jian cha 	检查	c=1 d=8.71905e-06 t=16526
jian chi 	坚持	c=1 d=0.0023461 t=16526
jian dan 	简单	c=4 d=0.0214094 t=16526
jian guo 	剪过	c=1 d=0.208045 t=16526
jian li 	建立	c=1 d=0.000206543 t=16526
jian pan 	键盘	c=2 d=1.87035e-05 t=16526
jian piao 	检票	c=1 d=0.574072 t=16526
jian rong 	兼容	c=6 d=0.375753 t=16526
jian rong xing 	兼容性	c=1 d=0.11475 t=16526
jian ti 	简体	c=2 d=0.00789489 t=16526
jian tie ban 	剪贴板	c=1 d=1.43753e-05 t=16526
jian yi 	建议	c=1 d=1.22265e-12 t=16526
jiang 	奖	c=1 d=0.154896 t=16526
jiang 	将	c=6 d=0.000188178 t=16526
jiang 	江	c=0 d=7.10174e-05 t=16526
jiang 	讲	c=6 d=0.0611167 t=16526
jiang 	酱	c=1 d=4.31036e-12 t=16526
jiang jiang 	讲讲	c=2 d=7.70203e-08 t=16526
jiang jie 	讲解	c=1 d=0.00179994 t=16526
jiang jin 	奖金	c=1 d=0.0122773 t=16526
jiang li 	奖励	c=2 d=0.380983 t=16526
jiang shi 	讲师	c=4 d=0.00270043 t=16526
jiang wen 	降温	c=1 d=4.66697e-06 t=16526
jiao 	交	c=1 d=0.00174675 t=16526
jiao 	叫	c=4 d=0.735835 t=16526
jiao 	教	c=1 d=0.373439 t=16526
jiao 	浇	c=5 d=0.00308949 t=16526
jiao 	胶	c=1 d=8.69654e-05 t=16526
jiao 	脚	c=1 d=0.537944 t=16526
jiao ao 	骄傲	c=0 d=0.00281559 t=16526
jiao ao v a 	骄傲∨啊	c=2 d=3.58302e-13 t=16526
jiao ben 	脚本	c=25 d=0.807751 t=16526
jiao da 	较大	c=1 d=4.31857e-05 t=16526
jiao di 	较低	c=1 d=1.41367e-14 t=16526
jiao dian 	脚垫	c=1 d=1.35824e-14 t=16526
jiao dian fei 	交电费	c=2 d=2.30755e-05 t=16526
jiao dui 	校对	c=2 d=5.30828e-06 t=16526
jiao duo 	较多	c=1 d=0.644036 t=16526
jiao fang zu 	叫房租	c=1 d=0.00172074 t=16526
jiao fu 	交付	c=1 d=0.00137404 t=16526
jiao han 	脚汗	c=1 d=0.529935 t=16526
jiao hu 	交互	c=1 d=1.20093e-07 t=16526
jiao jiao 	教教	c=1 d=0.0468877 t=16526
jiao man 	较慢	c=1 d=3.1305e-14 t=16526
jiao shao 	较少	c=1 d=1.11761e-14 t=16526
jiao shi 	教师	c=3 d=0.0497984 t=16526
jiao tong 	交通	c=5 d=0.789065 t=16526
jiao wo 	教我	c=1 d=1.86984e-10 t=16526
jiao yan 	校验	c=1 d=0.499074 t=16526
jiao zhu 	脚注	c=1 d=0.88692 t=16526
jiao zi 	饺子	c=1 d=0.143704 t=16526
jie 	借	c=1 d=3.51812e-05 t=16526
jie 	姐	c=1 d=0.00164502 t=16526
jie 	接	c=5 d=0.606531 t=16526
jie 	解	c=4 d=0.675775 t=16526
jie bu 	接不	c=0 d=7.8095e-05 t=16526
jie bu dao 	接不到	c=1 d=0.000784864 t=16526
jie chu 	接触	c=6 d=0.582746 t=16526
jie da 	解答	c=3 d=3.97284e-14 t=16526
jie dao 	街道	c=1 d=0.0564161 t=16526
jie dian 	借点	c=2 d=0.00279479 t=16526
jie dian 	节点	c=1 d=0.00280879 t=16526
jie dong 	解冻	c=1 d=0.0748264 t=16526
jie duan 	阶段	c=1 d=7.61927e-08 t=16526
jie ge 	杰哥	c=4 d=0.274155 t=16526
jie gou 	结构	c=3 d=0.694197 t=16526
jie guan 	接管	c=2 d=6.19841e-09 t=16526
jie guo 	结果	c=6 d=0.132655 t=16526
jie guo hun 	结过婚	c=1 d=0.562705 t=16526
jie he 	结合	c=1 d=8.72054e-08 t=16526
jie hun 	结婚	c=4 d=0.587202 t=16526
jie jia 	结痂	c=0 d=3.91772e-07 t=16526
jie jie 	姐姐	c=1 d=0.214381 t=16526
jie jiu e 	接旧恶	c=1 d=2.47362e-08 t=16526
jie ju 	结局	c=1 d=2.46128e-08 t=16526
jie jue 	解决	c=5 d=0.904837 t=16526
jie kou 	借口	c=1 d=0.204948 t=16526
jie kou 	接口	c=23 d=1.7142 t=16526
jie kou ma 	接口吗	c=1 d=0.0584257 t=16526
jie le hun 	结了婚	c=2 d=0.000135068 t=16526
jie ma 	接码	c=1 d=1.80989e-09 t=16526
jie ma 	解码	c=2 d=0.612626 t=16526
jie mi 	揭秘	c=1 d=0.582748 t=16526
jie mian 	界面	c=2 d=5.23215e-05 t=16526
jie qian 	借钱	c=2 d=0.000109849 t=16526
jie ru 	接入	c=1 d=0.0495388 t=16526
jie shao 	介绍	c=8 d=0.790571 t=16526
jie shi 	解释	c=3 d=0.833479 t=16526
jie shou 	接受	c=3 d=0.303591 t=16526
jie shu 	结束	c=2 d=0.104874 t=16526
jie suan 	结算	c=11 d=1.0546 t=16526
jie suan dan 	结算单	c=3 d=0.00440507 t=16526
jie tu 	截图	c=3 d=0.275271 t=16526
jie xi 	解析	c=6 d=0.582748 t=16526
jie xia lai 	接下来	c=1 d=2.74038e-07 t=16526
jie ya 	解压	c=1 d=3.16745e-05 t=16526
jie zhe 	接着	c=0 d=0.0278037 t=16526
jie zhe cha 	接着查	c=1 d=0.279431 t=16526
jin 	仅	c=3 d=0.0765355 t=16526
jin 	劲	c=2 d=0.873716 t=16526
jin 	近	c=4 d=0.827191 t=16526
jin 	进	c=1 d=0.000510561 t=16526
jin bao 	劲爆	c=1 d=0.111917 t=16526
jin bi 	金币	c=1 d=5.16044e-12 t=16526
jin cheng 	进程	c=1 d=4.99584e-13 t=16526
jin cheng ming 	进程名	c=1 d=2.41879e-09 t=16526
jin chi 	矜持	c=0 d=0.0477114 t=16526
jin chi dian 	矜持点	c=1 d=0.479505 t=16526
jin cuo 	进错	c=0 d=0.000307331 t=16526
jin cuo qu 	进错取	c=1 d=0.00308872 t=16526
jin dao 	进到	c=1 d=0.0176857 t=16526
jin du 	进度	c=6 d=0.316862 t=16526
jin e 	金额	c=9 d=0.394554 t=16526
jin jie 	进阶	c=2 d=5.3683e-06 t=16526
jin ke neng 	尽可能	c=1 d=0.423162 t=16526
jin lai 	进来	c=1 d=0.0101529 t=16526
jin mo 	筋膜	c=0 d=4.7367e-05 t=16526
jin mo qiang 	筋膜枪	c=2 d=0.00100479 t=16526
jin nian 	今年	c=2 d=0.00162866 t=16526
jin qu 	进去	c=2 d=0.0682212 t=16526
jin qun 	进群	c=1 d=0.000265207 t=16526
jin ru 	进入	c=2 d=0.0115446 t=16526
jin shou 	禁售	c=2 d=0.256661 t=16526
jin shu 	金属	c=1 d=0.00904991 t=16526
jin tian 	今天	c=11 d=0.864049 t=16526
jin wan 	今晚	c=1 d=3.99755e-08 t=16526
jin xing 	进行	c=11 d=0.423535 t=16526
jin yong 	禁用	c=2 d=0.640824 t=16526
jin zhi 	禁止	c=1 d=0.771052 t=16526
jin zi 	金子	c=1 d=0.00152616 t=16526
jing 	京	c=1 d=4.12069e-12 t=16526
jing 	璟	c=1 d=0.00188279 t=16526
jing ban ren 	经办人	c=1 d=0.000207579 t=16526
jing chang 	经常	c=7 d=0.429557 t=16526
jing dian 	经典	c=3 d=0.000724521 t=16526
jing dong 	京东	c=11 d=1.29561 t=16526
jing dou 	京豆	c=1 d=4.93336e-12 t=16526
jing dou 	竞斗	c=1 d=4.90876e-12 t=16526
jing fei 	经费	c=8 d=0.499074 t=16526
jing gao 	警告	c=1 d=1.83219e-06 t=16526
jing guo 	经过	c=1 d=0.00980366 t=16526
jing ji 	经济	c=1 d=0.0271874 t=16526
jing jian 	精简	c=1 d=0.00358858 t=16526
jing li 	精力	c=1 d=0.00740944 t=16526
jing shen 	精神	c=2 d=0.0130131 t=16526
jing xiang 	镜像	c=4 d=0.00108086 t=16526
jing yan 	经验	c=3 d=0.0149866 t=16526
jing zhun 	精准	c=1 d=4.20179e-06 t=16526
jiu 	久	c=5 d=0.00370525 t=16526
jiu 	就	c=123 d=3.60371 t=16526
jiu 	救	c=0 d=7.42862e-05 t=16526
jiu 	旧	c=4 d=0.000107227 t=16526
jiu 	舅	c=1 d=4.52904e-06 t=16526
jiu 	酒	c=1 d=0.00168667 t=16526
jiu ba 	就把	c=1 d=0.261846 t=16526
jiu bu 	就不	c=0 d=0.0124307 t=16526
jiu bu guan le 	就不管了	c=1 d=0.12493 t=16526
jiu bu zhi dao 	就不知道	c=1 d=1.14828e-09 t=16526
jiu dian ban 	九点半	c=1 d=1.51932e-09 t=16526
jiu duan le 	就断了	c=1 d=0.07502 t=16526
jiu e 	旧恶	c=0 d=2.46128e-09 t=16526
jiu gei wo 	就给我	c=1 d=0.211189 t=16526
jiu gen 	就跟	c=1 d=0.0357931 t=16526
jiu gou 	就够	c=1 d=1.59749e-11 t=16526
jiu gou le 	就够了	c=1 d=1.48206e-11 t=16526
jiu hao 	就好	c=1 d=0.018043 t=16526
jiu hao le 	就好了	c=2 d=0.965615 t=16526
jiu hui 	就会	c=1 d=0.0208584 t=16526
jiu hui qu 	就回去	c=1 d=0.00114197 t=16526
jiu ke 	就可	c=1 d=0.00660453 t=16526
jiu ke yi 	就可以	c=6 d=0.793335 t=16526
jiu le 	救了	c=1 d=0.865022 t=16526
jiu neng 	就能	c=4 d=0.144075 t=16526
jiu qu 	就去	c=2 d=0.000145549 t=16526
jiu shi 	就是	c=38 d=1.25209 t=16526
jiu shuo 	就说	c=3 d=0.000164387 t=16526
jiu suan 	就算	c=3 d=0.00030659 t=16526
jiu xian 	就先	c=0 d=6.17396e-05 t=16526
jiu xian shi 	就先是	c=1 d=0.000620491 t=16526
jiu xing 	就行	c=24 d=1.11683 t=16526
jiu xing le 	就行了	c=2 d=0.594521 t=16526
jiu yao 	就要	c=5 d=0.135575 t=16526
jiu ying gai 	就应该	c=1 d=0.000153011 t=16526
jiu yong 	就用	c=1 d=1.99956e-05 t=16526
jiu you 	就有	c=5 d=0.00379148 t=16526
jiu you yong 	就游泳	c=1 d=4.95809e-12 t=16526
jiu yue 	九月	c=2 d=0.162135 t=16526
jiu zhe 	就这	c=1 d=0.00577048 t=16526
jiu zhi dao 	就知道	c=1 d=1.25924e-06 t=16526
jiu zuo 	就做	c=1 d=0.000450569 t=16526
ju 	具	c=1 d=0.0916297 t=16526
ju 	句	c=1 d=0.0315058 t=16526
ju bao 	举报	c=3 d=0.830391 t=16526
ju can 	聚餐	c=1 d=0.715338 t=16526
ju ge 	举个	c=1 d=3.24818e-07 t=16526
ju hua 	句话	c=2 d=5.43437e-06 t=16526
ju jia 	居家	c=1 d=2.09701e-06 t=16526
ju jiao 	聚焦	c=0 d=2.06614e-09 t=16526
ju jue 	拒绝	c=1 d=0.154896 t=16526
ju jue le 	拒绝了	c=1 d=8.87222e-05 t=16526
ju li 	距离	c=1 d=5.06962e-09 t=16526
ju lie 	剧烈	c=1 d=0.00210172 t=16526
ju ran 	居然	c=3 d=0.203926 t=16526
ju se 	橘色	c=1 d=0.0804596 t=16526
ju shi 	局势	c=1 d=1.58079e-05 t=16526
ju ti 	具体	c=4 d=0.318935 t=16526
ju xian 	局限	c=1 d=0.00806679 t=16526
ju xing 	举行	c=1 d=3.98655e-05 t=16526
juan 	卷	c=1 d=0.00798652 t=16526
jue 	觉	c=0 d=0.0316637 t=16526
jue de 	觉得	c=5 d=0.0767198 t=16526
jue ding 	决定	c=1 d=0.000206543 t=16526
jue le 	绝了	c=1 d=8.56707e-05 t=16526
jue se 	角色	c=48 d=1.69994 t=16526
jun 	峻	c=17 d=1.00259 t=16526
jun ge 	峻哥	c=8 d=0.690734 t=16526
jun heng 	均衡	c=1 d=0.020141 t=16526
ka 	卡	c=3 d=0.918512 t=16526
ka dun 	卡顿	c=1 d=0.631284 t=16526
ka fa 	卡法	c=1 d=0.0632918 t=16526
ka hao 	卡号	c=1 d=0.00180897 t=16526
ka si 	卡死	c=1 d=1 t=16526
kai 	凯	c=4 d=0.896763 t=16526
kai 	开	c=11 d=0.998672 t=16526
kai bo 	开播	c=1 d=0.00170362 t=16526
kai che 	开车	c=2 d=0.666977 t=16526
kai fa 	开发	c=25 d=0.90051 t=16526
kai fa zhe 	开发者	c=1 d=0.0776922 t=16526
kai ge 	凯哥	c=1 d=0.000784864 t=16526
kai ge 	凯歌	c=1 d=0.444858 t=16526
kai guan 	开关	c=2 d=0.69681 t=16526
kai hu 	开户	c=0 d=0.00258615 t=16526
kai hu hang 	凯护航	c=1 d=0.0258615 t=16526
kai hu hang 	开户行	c=1 d=0.0259911 t=16526
kai hui 	开会	c=1 d=0.00164502 t=16526
kai ji 	开机	c=1 d=3.6084e-09 t=16526
kai ka 	开卡	c=1 d=0.0706512 t=16526
kai lai 	开来	c=1 d=0.0523397 t=16526
kai le 	开了	c=1 d=3.50057e-05 t=16526
kai men 	开门	c=2 d=0.698777 t=16526
kai pao 	开炮	c=1 d=0.540641 t=16526
kai piao 	开票	c=1 d=3.68005e-05 t=16526
kai qi 	开启	c=16 d=0.364281 t=16526
kai qi le 	开启了	c=1 d=0.231078 t=16526
kai shi 	开始	c=17 d=1.14133 t=16526
kai tong 	开通	c=1 d=2.07184e-11 t=16526
kai tou 	开头	c=1 d=8.96902e-15 t=16526
kai xiang 	开箱	c=2 d=0.00304273 t=16526
kai xin 	凯新	c=1 d=0.187308 t=16526
kai xue 	开学	c=0 d=0.0980199 t=16526
kai yi 	开一	c=0 d=1.95085e-10 t=16526
kai yi ge 	开一歌	c=1 d=1.96063e-09 t=16526
kai yuan 	开源	c=4 d=0.707797 t=16526
kai yuan xie yi 	开源协议	c=1 d=0.00111378 t=16526
kai zhe 	开着	c=3 d=0.57754 t=16526
kai zhi 	开支	c=1 d=0.11475 t=16526
kan 	看	c=43 d=2.67556 t=16526
kan 	砍	c=2 d=0.423247 t=16526
kan ba 	看吧	c=1 d=0.000191619 t=16526
kan bei 	看呗	c=1 d=3.32984e-05 t=16526
kan bu dao 	看不到	c=4 d=0.400517 t=16526
kan chu lai 	看出来	c=1 d=0.0380064 t=16526
kan cuo 	看错	c=1 d=0.00098783 t=16526
kan dao 	看到	c=13 d=4.54766 t=16526
kan dao guo 	看到过	c=1 d=0.0140519 t=16526
kan dao le 	看到了	c=1 d=0.000127168 t=16526
kan de 	看得	c=5 d=1.41618 t=16526
kan duo le 	看多了	c=1 d=3.04325e-05 t=16526
kan ge 	看个	c=1 d=0.304221 t=16526
kan guo 	看过	c=3 d=0.00336274 t=16526
kan kan 	看看	c=33 d=0.88048 t=16526
kan lai 	看来	c=6 d=0.0558329 t=16526
kan le 	看了	c=1 d=0.00559994 t=16526
kan neng 	看能	c=1 d=0.282239 t=16526
kan ni 	看你	c=3 d=0.806541 t=16526
kan sha 	看啥	c=1 d=0.157237 t=16526
kan sha 	砍杀	c=1 d=0.156453 t=16526
kan shu 	看书	c=1 d=7.35846e-10 t=16526
kan ta 	看他	c=1 d=0.0122773 t=16526
kan ti shi 	看提示	c=1 d=0.377192 t=16526
kan wan 	看完	c=3 d=0.123978 t=16526
kan xia 	看下	c=1 d=1.78725e-08 t=16526
kan xia 	砍下	c=3 d=0.0248484 t=16526
kan xiao shuo 	看小说	c=1 d=0.149569 t=16526
kan zhe 	看着	c=2 d=0.0440432 t=16526
kan zhe dian 	看这点	c=1 d=0.514274 t=16526
kan zhe ge 	看这个	c=1 d=0.506617 t=16526
kang zhe 	扛着	c=0 d=0.000190171 t=16526
kao 	靠	c=2 d=0.00501661 t=16526
kao lv 	考虑	c=1 d=5.10648e-06 t=16526
kao ni 	靠你	c=1 d=0.0238732 t=16526
kao rou 	烤肉	c=2 d=0.0996257 t=16526
kao shi 	考试	c=1 d=0.000389752 t=16526
kao yan 	考研	c=1 d=0.0141223 t=16526
kao yan 	考验	c=1 d=0.0140519 t=16526
ke 	可	c=3 d=0.0497709 t=16526
ke 	课	c=4 d=0.0585704 t=16526
ke che 	客车	c=1 d=0.159614 t=16526
ke cheng 	课程	c=2 d=0.111359 t=16526
ke fu 	客服	c=1 d=6.37954e-07 t=16526
ke hai 	可还	c=1 d=2.71311e-07 t=16526
ke hu duan 	客户端	c=9 d=0.0444151 t=16526
ke li du 	颗粒度	c=1 d=0.000858778 t=16526
ke ne ge 	可呢个	c=1 d=0.337902 t=16526
ke neng 	可能	c=39 d=2.05291 t=16526
ke neng shi 	可能是	c=1 d=0.00358858 t=16526
ke neng shi ta 	可能是他	c=1 d=0.339596 t=16526
ke ni 	可逆	c=0 d=0.000381048 t=16526
ke ni deng 	可逆等	c=1 d=0.00382958 t=16526
ke pa 	可怕	c=1 d=0.637628 t=16526
ke shi 	可视	c=1 d=7.84998e-06 t=16526
ke si 	科思	c=0 d=0.0024234 t=16526
ke ting 	客厅	c=1 d=0.00514361 t=16526
ke xi 	可惜	c=1 d=3.2092e-12 t=16526
ke xuan 	可选	c=1 d=0.496585 t=16526
ke yi 	可以	c=136 d=4.3192 t=16526
ke yi xue 	可以学	c=1 d=0.00096344 t=16526
ke yong 	可用	c=0 d=1.6371e-06 t=16526
ke zhi xing 	可执行	c=3 d=0.64998 t=16526
ken ding 	肯定	c=16 d=0.947945 t=16526
keng 	坑	c=1 d=3.16745e-05 t=16526
keng qi 	吭气	c=1 d=0.053397 t=16526
kong 	空	c=4 d=0.208436 t=16526
kong ge 	空格	c=9 d=0.000801748 t=16526
kong qi 	空气	c=1 d=0.0115624 t=16526
kong zhe 	空着	c=1 d=0.232236 t=16526
kong zhi 	控制	c=2 d=0.00276877 t=16526
kong zhi 	空值	c=1 d=2.46681e-05 t=16526
kong zhi qi 	控制器	c=2 d=0.332181 t=16526
kong zhi tai 	控制台	c=1 d=5.08101e-06 t=16526
kou 	扣	c=1 d=0.000176005 t=16526
kou hong 	口红	c=3 d=0.00598152 t=16526
kou qi 	口气	c=1 d=2.04593e-10 t=16526
kou zhao 	口罩	c=1 d=0.790571 t=16526
ku 	库	c=6 d=0.946527 t=16526
ku ba zha 	库巴扎	c=1 d=0.000204488 t=16526
ku dang 	裤裆	c=1 d=0.00538036 t=16526
ku fang 	库房	c=9 d=1.24667 t=16526
ku kou 	苦口	c=1 d=2.71265e-05 t=16526
ku wei 	枯萎	c=1 d=0.00680566 t=16526
ku xiao 	苦笑	c=1 d=0.000126534 t=16526
kua 	跨	c=2 d=3.67984e-12 t=16526
kua bao 	挎包	c=1 d=8.25245e-06 t=16526
kua ni 	夸你	c=1 d=0.0267827 t=16526
kuai 	块	c=4 d=0.371577 t=16526
kuai 	快	c=8 d=1 t=16526
kuai dao qi 	快到期	c=1 d=1.0631e-14 t=16526
kuai di 	快递	c=4 d=0.70822 t=16526
kuai guo nian 	快过年	c=1 d=0.204948 t=16526
kuai jie 	快捷	c=5 d=1.05615 t=16526
kuai jie jia 	快结痂	c=1 d=3.93736e-06 t=16526
kuai jie jian 	快捷键	c=14 d=3.00046 t=16526
kuai jin 	快进	c=1 d=0.0301974 t=16526
kuai kai xue 	块开学	c=1 d=0.985112 t=16526
kuai le 	快乐	c=1 d=0.00120052 t=16526
kuai le 	快了	c=2 d=0.00276698 t=16526
kuai qian 	块钱	c=7 d=0.470011 t=16526
kuai su 	快速	c=2 d=4.55094e-05 t=16526
kuai yao 	快要	c=1 d=0.00362464 t=16526
kuai yi 	快一	c=0 d=0.099005 t=16526
kuai yi ge yue 	快一个月	c=1 d=0.995012 t=16526
kuang 	框	c=2 d=0.00398587 t=16526
kuang biao 	狂飙	c=1 d=0.257947 t=16526
kuang gong 	矿工	c=1 d=0.0584257 t=16526
kuang jia 	框架	c=7 d=0.711345 t=16526
kui le 	亏了	c=1 d=0.0131675 t=16526
kui ni 	奎尼	c=1 d=0.0265162 t=16526
kun 	困	c=3 d=0.683861 t=16526
kun 	坤	c=3 d=0.701173 t=16526
kun ge 	坤哥	c=1 d=0.687289 t=16526
kun kun 	坤坤	c=4 d=0.0254941 t=16526
kun le 	困了	c=0 d=1.59256e-05 t=16526
kuo 	阔	c=1 d=0.00551656 t=16526
kuo ge 	阔哥	c=1 d=0.000395642 t=16526
kuo hao 	括号	c=2 d=0.00244185 t=16526
kuo zhan 	扩展	c=23 d=1.21007 t=16526
kuo zhao 	扩招	c=1 d=0.0174224 t=16526
la 	拉	c=5 d=0.815197 t=16526
la lian 	拉链	c=1 d=1.02832e-05 t=16526
la ni 	拉你	c=2 d=0.0639279 t=16526
la qu 	拉去	c=1 d=0.0190631 t=16526
la qu 	拉取	c=2 d=7.3269e-07 t=16526
la xian 	拉线	c=0 d=1.01809e-06 t=16526
la xian shang 	拉线上	c=1 d=1.02319e-05 t=16526
lai 	来	c=23 d=0.381726 t=16526
lai dian 	来电	c=1 d=0.110803 t=16526
lai le 	来了	c=5 d=0.718924 t=16526
lai shi 	来时	c=1 d=6.8256e-08 t=16526
lai shuo 	来说	c=3 d=0.00358858 t=16526
lai xia 	来下	c=1 d=0.0323869 t=16526
lai yi ge 	来一个	c=1 d=2.45492e-07 t=16526
lai zhe 	来着	c=4 d=0.0110645 t=16526
lan 	懒	c=2 d=0.00195469 t=16526
lan 	烂	c=2 d=0.00118858 t=16526
lan 	蓝	c=1 d=0.000211772 t=16526
lan de 	懒得	c=1 d=0.00276698 t=16526
lan jie qi 	拦截器	c=1 d=1.47442e-09 t=16526
lan mei 	蓝莓	c=1 d=0.000550326 t=16526
lang fei 	浪费	c=6 d=0.667492 t=16526
lao 	佬	c=13 d=0.581076 t=16526
lao 	姥	c=2 d=0.241714 t=16526
lao 	老	c=10 d=1.0504 t=16526
lao ban 	老板	c=3 d=0.364219 t=16526
lao chu 	老楚	c=1 d=0.153355 t=16526
lao da 	老大	c=1 d=0.0317456 t=16526
lao gong 	老公	c=1 d=0.847894 t=16526
lao hua 	老化	c=1 d=0.460704 t=16526
lao jia 	老家	c=1 d=0.600496 t=16526
lao lao shi shi 	老老实实	c=1 d=1.01057e-06 t=16526
lao po 	老婆	c=1 d=0.00568457 t=16526
lao shi 	老实	c=3 d=0.168638 t=16526
lao shi 	老师	c=1 d=0.00585769 t=16526
lao shi 	老是	c=1 d=0.0564161 t=16526
lao wang 	老王	c=1 d=0.0149208 t=16526
lao xi tong 	老系统	c=1 d=2.91132e-13 t=16526
lao zhu 	老朱	c=2 d=0.0478349 t=16526
le 	了	c=430 d=12.1811 t=16526
le ge 	了个	c=0 d=1.78325e-12 t=16526
le ma 	了吗	c=0 d=0.000918669 t=16526
lei 	嘞	c=1 d=6.29975e-06 t=16526
lei 	类	c=17 d=0.339616 t=16526
lei 	累	c=5 d=0.900094 t=16526
lei 	雷	c=1 d=1.58133e-09 t=16526
lei she 	雷蛇	c=1 d=2.78994e-12 t=16526
lei si 	类似	c=4 d=0.57695 t=16526
lei xing 	类型	c=17 d=1.05994 t=16526
lei zhe 	累着	c=1 d=0.67368 t=16526
lei zhong 	类中	c=2 d=0.0196096 t=16526
leng 	冷	c=5 d=0.810584 t=16526
leng dong 	冷冻	c=1 d=0.00135358 t=16526
leng ku 	冷库	c=1 d=0.631284 t=16526
leng luo 	冷落	c=1 d=0.0139818 t=16526
li 	李	c=1 d=0.0320647 t=16526
li 	理	c=7 d=2.12951 t=16526
li 	离	c=3 d=0.794534 t=16526
li 	里	c=28 d=2.0647 t=16526
li bao 	礼包	c=1 d=1.41979e-06 t=16526
li chun 	立春	c=1 d=2.46849e-13 t=16526
li de 	里的	c=1 d=1.93078e-05 t=16526
li hai 	厉害	c=1 d=0.00259284 t=16526
li ji 	立即	c=1 d=5.93288e-06 t=16526
li jie 	理解	c=5 d=0.157338 t=16526
li mi 	厘米	c=1 d=0.00138785 t=16526
li mian 	里面	c=3 d=0.607978 t=16526
li ming 	黎明	c=2 d=1.47432 t=16526
li nian 	理念	c=1 d=3.02179e-10 t=16526
li ru 	例如	c=1 d=1.47849e-12 t=16526
li shi 	历史	c=3 d=0.901047 t=16526
li wo 	离我	c=1 d=0.0480747 t=16526
li xian 	离线	c=1 d=2.29605e-14 t=16526
li you 	理由	c=3 d=0.946542 t=16526
li zhi 	离职	c=5 d=1.19684 t=16526
li zi 	例子	c=1 d=3.26446e-07 t=16526
lia 	俩	c=2 d=0.014802 t=16526
lia ren 	俩人	c=2 d=0.0833256 t=16526
lia xiao shi 	俩小时	c=1 d=1.6919e-10 t=16526
lian 	脸	c=1 d=0.0109059 t=16526
lian 	连	c=5 d=0.172907 t=16526
lian bu shang 	连不上	c=2 d=0.00282287 t=16526
lian cuo 	连错	c=1 d=0.0278757 t=16526
lian dian 	连点	c=1 d=0.927743 t=16526
lian dong 	联动	c=2 d=0.86565 t=16526
lian ge 	连个	c=1 d=1.28136e-05 t=16526
lian he 	联合	c=1 d=0.489192 t=16526
lian jia 	链家	c=1 d=1.00068e-08 t=16526
lian jie 	连接	c=3 d=0.119553 t=16526
lian jie 	链接	c=6 d=0.802519 t=16526
lian lian 	练练	c=1 d=0.843665 t=16526
lian sa hang 	连撒行	c=1 d=0.00249118 t=16526
lian shang 	连上	c=2 d=0.0190631 t=16526
lian shi 	链式	c=1 d=0.421052 t=16526
lian tian 	连天	c=1 d=0.000312783 t=16526
lian wang 	联网	c=2 d=1.21312 t=16526
lian xi 	练习	c=1 d=2.84533e-08 t=16526
lian xia 	连下	c=1 d=0.0104621 t=16526
lian zhe 	连着	c=1 d=0.00568457 t=16526
liang 	两	c=1 d=2.98001e-09 t=16526
liang 	亮	c=1 d=1.43036e-05 t=16526
liang 	量	c=5 d=0.138216 t=16526
liang ba 	两把	c=2 d=0.146607 t=16526
liang ci 	两次	c=1 d=3.71703e-05 t=16526
liang fen 	两份	c=1 d=0.810584 t=16526
liang ge 	两个	c=4 d=0.0246074 t=16526
